title,vote_average,vote_count,genres
Toy Story,7.7,5415.0,"['Animation', 'Comedy', 'Family']"
Jumanji,6.9,2413.0,"['Adventure', 'Fantasy', 'Family']"
Grumpier Old Men,6.5,92.0,"['Romance', 'Comedy']"
Waiting to Exhale,6.1,34.0,"['Comedy', 'Drama', 'Romance']"
Father of the Bride Part II,5.7,173.0,['Comedy']
Heat,7.7,1886.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Sabrina,6.2,141.0,"['Comedy', 'Romance']"
Tom and Huck,5.4,45.0,"['Action', 'Adventure', 'Drama', 'Family']"
Sudden Death,5.5,174.0,"['Action', 'Adventure', 'Thriller']"
GoldenEye,6.6,1194.0,"['Adventure', 'Action', 'Thriller']"
The American President,6.5,199.0,"['Comedy', 'Drama', 'Romance']"
Dracula: Dead and Loving It,5.7,210.0,"['Comedy', 'Horror']"
Balto,7.1,423.0,"['Family', 'Animation', 'Adventure']"
Nixon,7.1,72.0,"['History', 'Drama']"
Cutthroat Island,5.7,137.0,"['Action', 'Adventure']"
Casino,7.8,1343.0,"['Drama', 'Crime']"
Sense and Sensibility,7.2,364.0,"['Drama', 'Romance']"
Four Rooms,6.5,539.0,"['Crime', 'Comedy']"
Ace Ventura: When Nature Calls,6.1,1128.0,"['Crime', 'Comedy', 'Adventure']"
Money Train,5.4,224.0,"['Action', 'Comedy', 'Crime']"
Get Shorty,6.4,305.0,"['Comedy', 'Thriller', 'Crime']"
Copycat,6.5,199.0,"['Drama', 'Thriller']"
Assassins,6.0,394.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
Powder,6.3,143.0,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
Leaving Las Vegas,7.1,365.0,"['Drama', 'Romance']"
Othello,7.0,33.0,['Drama']
Now and Then,6.6,91.0,"['Comedy', 'Drama', 'Family']"
Persuasion,7.4,36.0,"['Drama', 'Romance']"
The City of Lost Children,7.6,308.0,"['Fantasy', 'Science Fiction', 'Adventure']"
Shanghai Triad,6.5,17.0,"['Drama', 'Crime']"
Dangerous Minds,6.4,249.0,"['Drama', 'Crime']"
Twelve Monkeys,7.4,2470.0,"['Science Fiction', 'Thriller', 'Mystery']"
Babe,6.0,756.0,"['Fantasy', 'Drama', 'Comedy', 'Family']"
Carrington,6.4,16.0,"['History', 'Drama', 'Romance']"
Dead Man Walking,7.3,350.0,['Drama']
It Takes Two,6.1,149.0,"['Comedy', 'Family', 'Romance']"
Clueless,6.9,828.0,"['Comedy', 'Drama', 'Romance']"
"Cry, the Beloved Country",6.7,13.0,['Drama']
Richard III,6.9,50.0,"['Drama', 'War']"
Dead Presidents,6.6,80.0,"['Action', 'Crime', 'Drama', 'History']"
Restoration,6.3,30.0,"['Drama', 'Romance']"
Mortal Kombat,5.4,452.0,"['Action', 'Fantasy']"
To Die For,6.7,177.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
How To Make An American Quilt,6.5,38.0,"['Drama', 'Romance']"
Se7en,8.1,5915.0,"['Crime', 'Mystery', 'Thriller']"
Pocahontas,6.7,1509.0,"['Adventure', 'Animation', 'Drama', 'Family']"
The Usual Suspects,8.1,3334.0,"['Drama', 'Crime', 'Thriller']"
