title,vote_average,vote_count,genres
Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,"['Action', 'Science Fiction']"
Amityville: A New Generation,2.8,17.0,['Horror']
The Amityville Curse,2.7,19.0,['Horror']
Chairman of the Board,2.7,13.0,['Comedy']
The Garbage Pail Kids Movie,3.0,20.0,"['Adventure', 'Science Fiction', 'Comedy']"
Shanghai Surprise,2.9,15.0,['Adventure']
Battlefield Earth,3.0,259.0,"['Action', 'Science Fiction', 'War']"
Retro Puppet Master,2.5,12.0,['Horror']
Leonard Part 6,2.7,27.0,"['Action', 'Comedy']"
Going Overboard,2.5,44.0,['Comedy']
The Pumaman,2.9,17.0,"['Science Fiction', 'Action']"
From Justin to Kelly,3.0,23.0,"['Comedy', 'Romance']"
House of the Dead,2.8,106.0,"['Horror', 'Action', 'Thriller']"
Metalstorm: The Destruction of Jared-Syn,3.0,13.0,"['Fantasy', 'Science Fiction']"
The Beast of Yucca Flats,1.6,18.0,"['Horror', 'Science Fiction']"
Superbabies: Baby Geniuses 2,1.9,36.0,"['Comedy', 'Family']"
Eegah,2.8,18.0,['Horror']
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,2.7,15.0,['Horror']
Manos: The Hands of Fate,2.0,56.0,['Horror']
11:11,2.7,15.0,['Horror']
Retrograde,2.9,12.0,"['Action', 'Science Fiction']"
Pledge This!,2.7,34.0,['Comedy']
Dragonball Evolution,2.9,475.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Thriller']"
The Dunwich Horror,2.6,11.0,"['Action', 'Horror', 'Thriller']"
Puppet Master vs Demonic Toys,2.7,12.0,['Horror']
Almighty Thor,2.3,15.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Birdemic: Shock and Terror,2.1,69.0,"['Horror', 'Science Fiction']"
Zaat,2.1,14.0,"['Thriller', 'Fantasy', 'Science Fiction', 'Horror', 'Drama']"
Mega Shark vs. Crocosaurus,2.7,39.0,"['Action', 'Horror', 'Science Fiction']"
2010: Moby Dick,2.8,26.0,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
Forest Warrior,2.7,16.0,"['Action', 'Family']"
Hellraiser: Revelations,3.0,57.0,['Horror']
Keith Lemon: The Film,2.7,11.0,['Comedy']
Bigfoot,3.0,17.0,"['Horror', 'Science Fiction', 'Adventure']"
Sand Sharks,2.7,37.0,"['Comedy', 'Horror', 'Science Fiction']"
20 Ft Below: The Darkness Descending,2.0,12.0,['Thriller']
