title,vote_average,vote_count,genres
Planet Earth II,9.5,50.0,['Documentary']
The Civil War,9.2,15.0,['Documentary']
Cosmos,9.1,41.0,[]
Dilwale Dulhania Le Jayenge,9.1,661.0,"['Comedy', 'Drama', 'Romance']"
Bruce Lee: The Legend,8.9,19.0,['Documentary']
Kizumonogatari Part 2: Nekketsu,8.9,11.0,"['Animation', 'Fantasy', 'Mystery']"
Planet Earth,8.8,176.0,['Documentary']
The Story of Film: An Odyssey,8.8,26.0,['Documentary']
Life Cycles,8.8,27.0,['Documentary']
London Spy,8.8,12.0,"['Romance', 'Crime', 'Drama', 'Mystery', 'Thriller']"
